Country,ISO,Sex,Year,AgeStd_Diabetes_18+,AgeStd_Diab_L95_18+,AgeStd_Diab_L95_v2_18+,AgeStd_Treated_30+,AgeStd_Treat_L95_30+,AgeStd_Treat_U95_30+,Crude_Diabetes_18+,Crude_Diab_L95_18+,Crude_Diab_U95_18+,Crude_Treated_30+,Crude_Treat_L95_30+,Crude_Treat_U95_30+
Egypt,EGY,Men,2002,1294.24007,9.526476200000001,16.7405194,48.0209313,36.885968600000005,59.4157318,10.2801749,7.4398392,13.5593886,46.0345834,35.2257064,57.135523899999995
Egypt,EGY,Men,2003,1334.70015,10.0311203,17.1167522,48.5475148,37.950983799999996,59.3603731,10.6594328,7.8486577,13.919603,46.495441799999995,36.131539000000004,57.070244800000005
Egypt,EGY,Men,2004,1380.54882,10.51329,17.456111999999997,49.0100215,38.673489599999996,59.4099032,11.0910417,8.3111268,14.3082029,46.8966863,36.9456099,57.08677
Egypt,EGY,Men,2005,1432.86929,11.0910055,17.959186499999998,49.3990198,39.376882,59.4916499,11.586202499999999,8.818541,14.704842800000002,47.2249238,37.5880799,56.9857068
Egypt,EGY,Men,2006,1491.59056,11.6728477,18.5501163,49.7033925,40.0183531,59.4498364,12.149219,9.3819562,15.3271093,47.4759516,38.207712900000004,56.885905
Egypt,EGY,Men,2007,1556.83477,12.31526,19.1202506,49.9224386,40.6056883,59.2044527,12.786952500000002,9.9611894,15.9308914,47.6547459,38.6994201,56.639103199999994
Egypt,EGY,Men,2008,1628.3080599999998,13.013738799999999,19.86796,50.0722095,41.0755145,58.916963700000004,13.4976707,10.6398666,16.631432,47.772339099999996,39.2074902,56.285850100000005
Egypt,EGY,Men,2009,1705.75848,13.7673136,20.632735,50.1573465,41.4365175,58.605517,14.2766132,11.3639463,17.4614863,47.8267857,39.59621,56.086224699999995
Egypt,EGY,Men,2010,1785.8723300000001,14.490114100000001,21.409337700000002,50.171416300000004,41.5687977,58.4874947,15.0950124,12.083984000000001,18.256247300000002,47.8119213,39.748838,55.811599
Egypt,EGY,Men,2011,1865.6355599999997,15.1769797,22.3266226,50.099057599999995,41.627865,58.2050911,15.914681999999999,12.7834956,19.216027399999998,47.7031344,39.6419894,55.5793151
